id,Субъект Российской Федерации,Год,Всего,ЗП,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,до 1 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
32,Псковская область,2015,644696,87.8,100177,360927,183592,6810,6872,6949,6820,6621,6582,6613,6391,5883,5917,6101,6098,6196,5938,5436,4950,5245,5180,5300,5575,5554,5810,7019,8667,9774,9869,10240,10837,10466,9934,9751,10048,9860,9080,9349,8819,8926,8865,9068,8912,8738,8552,8846,8728,8691,7984,7980,7914,8453,8785,9063,9663,10101,10457,11288,10876,11365,11184,10446,10605,10380,9450,9625,9277,9370,9540,7358,6743,5552,3579,3137,2394,3569,5751,5143,5895,5744,5638,4517,3740,2852,2913,3440,2905,2911,2232,2172,1694,1510,1121,811,614,459,215,151,69,68,26,22,19,46
33,г. Санкт-Петербург,2015,5276250,92.5,736535,3188668,1351047,59973,56230,56519,52484,46167,45541,42766,39739,38349,40133,40510,45828,42988,41602,45462,42244,39779,38831,49523,55641,54567,57181,67520,76433,91902,95524,98147,102107,100533,102700,98089,99094,92396,88693,95912,85517,84219,79615,81231,80167,77784,75948,76975,74905,78324,70902,68772,65580,66589,71253,71452,75107,77441,79970,85998,78145,76713,76211,73666,75398,72228,65546,65543,63038,63892,63643,56548,58656,57209,40178,26351,17605,18915,33179,38208,44722,46162,49780,31331,26321,20829,19845,21896,19886,19930,16198,14792,12542,10561,8328,6349,5300,3971,2676,1671,1038,774,432,307,212,669
34,Южный федеральный округ,2015,16378179,90.8,2810599,9429546,4138034,209164,203996,205925,192800,184548,185422,189196,180060,166221,165067,163105,162077,156868,147212,155235,143703,148005,146226,156743,171058,175470,181813,206126,224764,259064,259039,267245,279580,282652,282481,272534,277514,258874,246820,271563,244880,241429,231081,234772,240131,228324,220648,224374,214158,227159,200823,201319,196416,201996,214814,214789,231695,239236,250460,273878,249809,243821,236060,233554,230354,234422,216005,217196,202973,206468,206961,167456,156726,137501,82999,63346,69036,93902,135156,149299,153538,149143,147607,110285,89753,54623,44193,53470,49424,57887,47692,43740,36320,28768,20764,16000,10924,6435,4672,2919,1736,1597,783,589,520,1201
35,Республика Адыгея,2015,459921,91.8,85464,263933,110524,5942,5797,6058,5901,6027,5887,5970,5665,4946,5034,4901,4827,4645,4507,4745,4612,4987,4704,4996,5136,5135,5384,6200,6790,7593,7655,7334,7686,7935,7889,7312,7272,6772,6499,7533,6767,6499,6020,6153,6513,6108,5955,6080,5972,6228,5586,5770,5492,5537,6102,5853,6259,6746,7071,7745,6879,6768,6481,6378,6215,6132,5557,5666,5508,5528,5248,4358,4136,3593,2167,1537,1875,2462,3613,4121,4212,4101,4008,3087,2553,1494,1223,1409,1258,1667,1369,1214,990,703,486,430,272,160,81,92,45,46,23,9,10,25
36,Республика Калмыкия,2015,279721,90.2,60375,165584,53762,4182,4259,4299,4159,4416,4327,4374,4113,3546,3538,3541,3449,3141,3020,2974,3037,3091,3056,2951,3127,3399,3302,3778,3909,4562,4818,4884,5246,5070,5003,4897,4748,4531,4097,4297,3932,3747,3650,3530,3494,3403,3181,3168,3032,3282,3324,3462,3593,3738,4154,4467,4733,4777,4995,4982,4815,4513,4386,4254,4046,4030,3415,3313,3006,2701,2579,1728,1440,1224,688,443,681,1052,1286,1636,1683,1635,1493,1320,1120,681,546,682,639,687,483,439,371,242,205,154,110,85,29,39,13,14,6,4,9,11
37,Республика Крым,2015,1895915,,321180,1063158,511577,23434,23461,24441,22790,23007,23111,22937,21535,19887,17730,18168,17162,16116,15736,15996,15669,16083,16296,16999,17707,19283,19545,21293,23754,26232,27892,30136,32176,32514,31364,31918,32111,29424,28154,28673,27626,27508,26551,27164,25957,25881,24667,25226,24388,24280,23648,23240,23081,23664,24046,26058,27066,28507,29573,30667,29655,29399,29175,29025,28001,29030,26304,26926,25324,25238,26032,20282,18823,16555,10121,10789,9143,12981,17170,17682,18758,18013,17722,12920,10091,7459,5942,7027,6057,6721,5354,4933,4305,3376,2495,1913,1270,780,561,332,251,164,85,61,45,93
38,Краснодарский край,2015,5505818,89.9,978532,3154134,1373152,75571,72916,72320,67713,61918,62786,63779,60936,57199,57791,57777,57430,55017,51714,54279,49386,50613,49508,52226,56646,58523,60358,68388,73856,85119,83536,87602,91820,93730,93936,90584,92156,87803,83131,92992,83407,82212,78357,79929,82330,78817,76452,77314,73832,78838,67258,67147,65825,66777,70304,70243,74847,79202,83063,92040,82191,79230,75751,75582,75251,77244,71166,71647,66733,70398,68050,56084,54421,46125,27402,20718,23519,30273,44633,52036,53106,51058,51140,37107,29822,17173,13526,15976,15062,19028,15851,14730,12047,9809,7063,5246,3655,2211,1564,1000,542,535,264,170,133,293
39,Астраханская область,2015,1009216,89.9,195818,588319,225079,15071,15023,15211,13727,13269,13590,13820,12632,11147,11097,11260,10899,10665,9687,9611,9109,9415,9516,9764,10984,11320,11615,13482,15295,16970,17114,17842,18420,17998,17859,17387,17543,16174,15705,16043,14776,15468,14565,14405,14404,13508,13499,13299,13161,12822,12100,11870,11973,12568,13033,13588,14458,14651,15030,16175,15048,14969,14309,14180,14124,13716,12652,12629,12130,11027,11489,9234,7898,7187,4462,3039,3141,4410,6520,6932,7305,6980,6909,5203,4635,3123,2656,3308,2901,2881,2507,2156,1840,1500,1090,961,695,392,305,210,168,153,105,102,105,313
40,Волгоградская область,2015,2572907,91.8,421099,1491372,660436,29410,29094,29702,28306,27310,27644,28989,27773,24964,24904,23323,24305,24444,23076,24727,23128,23311,22332,24306,26445,26745,28831,32158,35638,42257,41878,42709,43957,44454,44274,42254,43367,39805,38169,42257,38552,37872,37171,37521,38225,36182,35201,36011,34035,36513,32649,32554,31281,32900,35120,34163,37239,37378,39104,42855,39290,37915,37486,36840,36344,36919,34138,33899,32193,32489,32800,27458,24464,22211,13424,9373,10515,14829,21613,23035,24088,23558,22590,18448,14920,9060,7683,9193,9009,9730,8232,7510,6323,4889,3502,2827,1932,1051,778,475,260,298,138,103,94,209
41,Ростовская область,2015,4255708,91.3,686953,2474795,1093960,51013,49006,49340,45925,44347,43742,45092,43288,40685,41367,40311,40615,39703,36573,39940,36006,37749,37409,41651,46062,46491,48396,56114,60134,70666,69952,70047,73241,73682,75069,70998,73057,67641,64547,73216,63622,62029,58869,60235,63186,58660,56197,57735,54519,60053,51415,52525,50586,52154,57351,55423,61804,62478,65995,73594,66111,65197,62662,61578,60634,61182,57163,57349,52657,53837,55121,43719,41051,36558,22291,15181,18207,25231,36639,40251,40481,40100,39881,29678,24551,14110,11374,14336,13150,15708,12678,11588,9471,7472,5347,4038,2711,1600,1224,713,395,345,148,129,118,238
42,г. Севастополь,2015,398973,,61178,228251,109544,4541,4440,4554,4279,4254,4335,4235,4118,3847,3606,3824,3390,3137,2899,2963,2756,2756,3405,3850,4951,4574,4382,4713,5388,5665,6194,6691,7034,7269,7087,7184,7260,6724,6518,6552,6198,6094,5898,5835,6022,5765,5496,5541,5219,5143,4843,4751,4585,4658,4704,4994,5289,5497,5629,5820,5820,5830,5810,5717,5739,6169,5610,5767,5422,5250,5642,4593,4493,4048,2444,2266,1955,2664,3682,3606,3905,3698,3864,2522,2061,1523,1243,1539,1348,1465,1218,1170,973,777,576,431,279,156,130,58,62,42,14,11,6,19
43,Северо-Кавказский федеральный округ,2015,9725694,89.1,2367090,5775848,1582756,165202,162701,165018,162862,152294,154199,161853,152697,137609,145368,137157,139171,134890,123669,139339,133061,135969,127827,133215,143556,136208,140033,163617,169075,204084,186348,179163,176532,175170,181044,159697,158893,151628,138313,167628,138442,134513,124803,127434,138947,121250,119010,119290,113891,140136,114379,120835,110496,112459,129348,118444,122846,123533,123709,146166,120145,113960,105841,101669,100283,95693,85127,84866,74560,80906,70471,57707,52784,43728,31822,22948,26999,38393,45211,57571,53709,52365,51057,42628,36665,23737,20779,24437,16958,24447,15286,15333,10938,8878,6529,5063,3343,2427,1387,1647,508,521,350,190,195,612
44,Республика Дагестан,2015,3004924,90.1,793562,1847893,363469,56433,54671,54523,52562,49202,50995,53674,50452,46170,49397,46413,47007,45663,41803,48632,45965,47988,45567,48938,51503,49575,48749,55793,57656,70448,61914,59330,57542,55982,58698,49688,48724,45994,41399,52088,41153,40522,38015,38824,43668,38046,37448,37484,35466,45960,35996,39645,35714,35774,41432,37262,37172,37046,35658,42213,32583,30304,27212,25491,24641,22252,18917,19158,16373,19347,15088,13164,11144,9030,8135,5271,5636,8749,8766,12799,10425,10483,10864,10223,9133,6684,6049,6722,4005,6475,2752,3152,1834,1716,1311,985,573,530,251,458,105,115,105,52,51,175
45,Республика Ингушетия,2015,459335,85.1,145645,271415,42275,9740,9366,9537,11314,9260,9613,9959,9211,8467,8884,8317,8518,8489,7480,8726,8764,8240,7835,7902,8466,7735,7565,8636,7796,10983,9574,8293,8207,8085,9005,7010,6904,6905,6052,8873,6281,5694,4879,5286,6223,5017,5135,5227,5053,8128,5848,5461,4513,4397,6058,4572,4814,4676,4595,6515,4445,4056,3458,3344,3462,2723,2338,2383,2057,2485,1707,1323,1135,953,867,895,900,1111,936,1542,1121,1074,1021,964,792,687,531,642,329,587,282,283,167,126,133,103,68,61,29,64,14,15,7,9,3,20
46,Кабардино-Балкарская Республика,2015,872785,88.3,190082,525824,156879,13918,13852,14524,13062,12930,12670,12920,12381,10447,10803,10099,10288,10129,9591,11586,10882,10996,10499,10801,11967,11173,11802,13552,14376,17687,16984,16334,16161,16248,16960,14470,14123,13680,12368,15110,12480,12031,10951,11110,12085,10455,10214,10441,10432,12673,11131,11884,10998,11261,13161,12318,12573,12694,12503,14785,12105,11452,10827,10054,9662,9639,8156,8209,7185,7480,6593,5410,4983,4177,3201,2484,2964,4905,4699,6032,5555,5520,4789,4274,3236,2338,2015,2653,1569,2435,1393,1478,928,749,564,381,336,249,110,181,54,39,45,17,18,89
47,Карачаево-Черкесская Республика,2015,469975,89.0,99602,277716,92657,6653,6778,6853,6384,6601,6825,7164,6907,5824,6166,5869,5625,5557,5135,5875,5386,5688,5111,5540,6289,5670,5638,6720,7192,8800,8036,8292,8175,8079,8741,7500,7783,7485,6748,8199,6731,6680,6286,6271,6738,5961,5852,5925,5688,6710,5675,6284,5819,5927,6729,6478,6481,6666,6689,8008,6801,6743,6466,6128,5808,5616,4986,4907,4292,4666,3907,3172,2761,2260,1531,1108,1665,2035,2744,3509,3357,3190,3148,2652,2109,1488,1341,1563,992,1651,1005,951,644,485,386,327,195,174,56,113,34,38,20,9,17,39
48,Республика Северная Осетия – Алания,2015,704821,90.9,143458,407972,153391,9801,9887,10179,9580,9379,9070,9331,9500,8259,8370,8045,8383,8292,8001,9016,8365,8629,8205,8714,9626,8874,8725,9876,11133,12696,12302,11636,11556,11614,12020,10667,10635,10210,9354,11462,9848,9630,9540,9578,10387,9307,9246,9075,8695,10310,8739,9249,8727,9054,10135,9316,9660,9625,9702,11122,9375,9267,8604,8371,8149,8178,7151,7431,6641,7156,6518,5374,5496,4566,3482,2445,2755,4237,5252,6095,5648,5565,5378,4536,3844,2735,2461,2903,1807,2654,1815,1684,1266,1035,668,616,413,297,163,185,62,69,19,26,25,67
49,Чеченская Республика,2015,1370471,88.2,475959,769626,124886,32476,32829,33994,36916,30395,30783,33895,30927,28272,29746,28250,27734,26356,23259,24594,25533,24891,22548,21518,21904,20690,20666,23250,22879,29934,27373,25811,25573,25362,26200,22486,22091,21250,18948,24209,19012,17572,16092,15647,16978,14409,13877,13983,13253,16749,13502,13607,12416,12589,14292,13097,13806,13723,13361,16287,13617,12414,11726,10695,10419,9460,8769,8320,6846,7258,5397,4060,3455,2138,1455,1764,1863,2773,2283,3425,2732,3015,2968,2698,2329,1822,1620,1922,813,1500,610,740,351,290,236,198,123,118,68,144,30,40,39,12,26,96
50,Ставропольский край,2015,2843383,88.9,518782,1675402,649199,36181,35318,35408,33044,34527,34243,34910,33319,30170,32002,30164,31616,30404,28400,30910,28166,29537,28062,29802,33801,32491,36888,45790,48043,53536,50165,49467,49318,49800,49420,47876,48633,46104,43444,47687,42937,42384,39040,40718,42868,38055,37238,37155,35304,39606,33488,34705,32309,33457,37541,35401,38340,39103,41201,47236,41219,39724,37548,37586,38142,37825,34810,34458,31166,32514,31261,25204,23810,20604,13151,8981,11216,14583,20531,24169,24871,23518,22889,17281,15222,7983,6762,8032,7443,9145,7429,7045,5748,4477,3231,2453,1635,998,710,502,209,205,115,65,55,126
51,Приволжский федеральный округ,2015,29717365,91.0,5172639,17217668,7327058,389950,387567,387722,363400,351949,346590,342755,323091,292756,294029,299167,296427,289877,269069,275679,262611,275248,267440,283180,297578,312953,320381,361769,392874,453822,479857,503594,528095,523964,506113,490970,498784,455591,441807,453636,432006,430172,420054,428690,426181,408904,392979,398518,390210,397141,372266,370253,367903,388210,404150,414869,447716,458699,484074,513477,487564,481775,465855,441495,442031,437735,387735,389795,373778,355645,360882,294743,279167,246569,138952,100129,97896,149463,226993,231117,249449,235612,217733,181196,149217,114889,99137,111625,100637,100614,85413,79957,62106,51217,38001,28298,19747,10798,8418,5173,3748,3272,1481,1083,834,1624
52,Республика Башкортостан,2015,4105743,90.9,794908,2403707,907128,60401,59635,59492,55920,55321,53619,54039,50844,43903,44587,45026,44702,44455,41043,41844,40077,42516,41795,43309,44579,45964,47032,52933,55746,65465,68874,72197,76079,73696,71548,67638,69319,63035,60431,61221,56885,55960,54242,54367,53943,52246,50512,51307,50799,53285,51530,53048,52651,55798,58152,60157,64495,66407,69482,73031,67855,66328,62639,57727,56851,55442,47964,49020,46284,40992,42275,31816,31643,28248,15086,10060,11279,19149,25950,27575,31266,29068,26088,24721,20997,15446,13515,16358,13573,13373,10930,11143,7385,6361,4667,3575,2125,1127,1077,631,428,418,224,158,135,189
53,Республика Марий Эл,2015,689240,92.7,126758,401450,161032,10008,10035,9754,9100,8656,8705,8466,8127,7194,7199,7249,6980,6738,6318,6261,5968,6052,6022,6362,6729,7142,7252,7996,9105,10728,11242,12165,13026,12939,12063,12017,12091,10792,10662,10435,10027,9490,9507,9530,9426,8810,8449,8348,8177,8633,8180,8454,8688,9133,9558,9858,10959,10846,12008,12514,12265,12163,12062,11119,11116,10724,9281,8788,8295,7731,8041,6563,6300,5007,2551,1774,1591,3095,4406,4724,4862,4505,4171,3155,2833,2735,2382,2520,2299,1984,1752,1501,1210,1067,800,566,433,236,146,109,74,64,26,15,7,19
54,Республика Мордовия,2015,812691,94.8,122707,477457,212527,8213,8340,8203,7820,7972,8163,8279,7795,7288,7351,7548,7538,7249,6940,7168,6840,6991,6898,7652,8310,8441,8919,9746,10289,11943,12882,13006,13971,13742,13244,12645,12992,12298,11612,11772,11540,11311,11205,11443,11653,11323,10722,11391,11545,11470,10697,10938,11015,11790,12311,12269,13407,13438,14312,15219,14717,14573,13980,13309,12559,12509,11223,11316,10600,10354,10570,9079,7944,6995,3453,2755,2650,4545,7082,7064,6757,6867,5737,5193,4310,3553,2980,3295,2626,2817,2367,2369,1846,1536,1228,925,689,438,292,160,125,111,41,24,24,45
55,Республика Татарстан,2015,3894478,91.3,700295,2292061,902122,56125,56154,55218,50078,47477,46285,44475,41153,37489,38567,38618,39391,39032,36022,37860,36351,37709,37960,39983,41783,43882,45393,52042,55173,65230,68457,71053,73961,72259,69511,66641,66224,59121,56749,58351,56462,54858,53859,55565,54806,52292,50662,50358,48210,50007,47214,47469,47935,52238,53695,54249,59259,60529,63398,67456,62274,61217,59325,55513,55477,54193,47177,47014,44519,41963,43349,34740,33187,29270,15592,11230,11720,17951,28392,29264,31706,28663,25681,22157,17822,16434,13454,14088,13511,13145,10918,10404,8167,6352,5044,3820,2749,1203,1145,697,533,424,203,169,115,209
56,Удмуртская Республика,2015,1504407,92.1,296445,861031,346931,22051,22204,23085,22052,20527,19897,18866,18376,17190,17186,17222,16648,16218,15345,15091,14487,14941,14355,14250,13782,15386,15651,17812,18989,21064,22556,25199,26161,26154,25002,24981,26307,24160,23458,24214,22841,22668,22180,22901,21661,20655,19162,19307,19152,18970,17631,17300,17937,18693,19367,20248,21870,23010,23902,25773,24720,24611,23750,22495,22769,22697,20454,20202,19215,17877,17359,13236,13178,10751,6787,5082,4511,6287,9369,9646,11013,9468,8517,7453,6362,5783,4745,5022,4756,4364,3420,3020,2512,2025,1465,1118,799,432,345,226,148,133,64,36,43,47
57,Чувашская Республика,2015,1231809,89.6,222355,721627,287827,17048,16829,17279,15911,15679,15402,14618,14272,12592,12376,12744,12340,11864,10960,11372,11069,11794,11431,12299,12484,12942,12992,14750,16358,19061,20597,21027,21770,21499,20227,19790,19498,17653,17555,17962,17407,17556,17528,18475,18035,17116,16305,16935,16750,16696,16705,16822,16512,18474,18127,18600,19198,19444,19708,21395,20477,19713,19021,17777,17347,17037,14758,15007,14336,13638,13783,11449,10320,8904,4671,3883,3633,6847,8762,8885,9246,8782,8701,6730,6263,5656,4877,4763,4323,4025,3275,2952,2325,2109,1675,1335,988,462,404,280,170,161,71,47,30,79
58,Пермский край,2015,2625995,92.0,499714,1507407,618874,37997,37869,38591,36778,34241,32761,33191,30948,27590,28070,28950,28884,28037,26081,25752,23974,25461,24037,25480,25822,26816,27548,30883,32399,37950,41226,44213,46331,47444,45408,44595,44946,41205,39400,39950,38959,40160,39281,39713,40455,39067,36948,36864,35819,34752,32748,31533,30712,31517,32844,34075,36618,37426,39861,42306,40361,40328,38777,37571,37909,38400,34377,34741,33815,32860,32144,25146,24537,21299,12614,8410,7923,11168,17749,17960,20000,19013,17152,13665,11572,8816,7856,9326,8276,7856,6571,6430,4893,4370,2903,2231,1601,919,689,385,297,243,129,78,55,94
59,Кировская область,2015,1271006,92.1,204019,714792,352195,14349,14528,14432,13340,14560,14442,14357,13367,12419,11918,12081,11465,11487,10605,10699,9970,10523,9974,10185,10792,11070,11450,12498,14066,16634,18192,18879,20010,20872,20132,20102,21441,19658,19157,19409,18600,19207,18067,18872,18485,17809,16953,16849,16241,16029,14820,14805,14721,15801,16649,17602,19544,20229,22446,24036,24222,24159,23425,21992,22549,21964,19292,19625,18614,17897,17825,13516,13634,11183,5616,3718,3075,5761,10047,9838,11479,10522,10133,7515,6979,6358,5939,6397,5652,5294,4240,3977,2864,2739,1807,1417,928,674,461,267,229,142,66,60,20,67
60,Нижегородская область,2015,3256991,90.0,515166,1871048,870777,38641,38408,38480,36215,34333,34759,34018,31990,29965,29715,30076,29790,28717,26641,27526,25892,27781,26966,28876,31090,32758,32764,38131,42944,49708,52797,55330,58690,57652,55968,53918,55706,50410,49094,50740,47824,48993,46602,47107,47450,45209,43645,44233,43489,44643,41191,39375,38717,40583,42423,43623,46259,47805,51331,55483,54725,55051,53015,50185,50682,49707,44462,44316,42721,42217,43048,33966,32496,29836,17964,13767,11150,15846,26523,26608,28453,28290,28252,21390,19674,16508,13765,15090,12452,12386,10708,9550,7682,6397,4870,3595,2358,1756,1021,588,456,408,197,119,95,172
61,Оренбургская область,2015,1973855,92.0,370105,1136769,466981,26682,26849,27018,25520,26479,25672,24714,23494,20968,20687,21498,21465,21138,19550,19805,18566,19761,18835,18906,19908,21407,21449,23023,25175,27970,29745,31392,33324,33999,33311,31830,32565,30067,29885,30813,29294,28440,27953,27921,27925,26727,25814,26477,25588,25563,24211,24501,24460,25477,26716,27778,30382,31331,33364,34532,33023,32553,30907,28940,29174,28425,24433,24887,24571,21440,21118,18783,18017,15573,8029,5937,6437,9690,14229,15102,16965,15850,15069,13076,9664,5422,5104,5972,5928,6385,5609,5171,4244,3271,2325,1577,1091,514,454,310,199,157,64,73,44,125
62,Пензенская область,2015,1350786,90.7,206250,769211,375325,14785,14351,14437,13621,14068,14213,14038,13183,12078,12066,12394,11989,11469,11042,11364,11152,11313,10988,11489,12539,13304,14179,15803,17443,19792,20991,21997,22583,22044,21927,20899,21233,19721,19264,20453,19147,19362,18569,19295,18906,18365,17872,18472,18212,18452,17275,16990,17384,17886,18973,19189,20938,21099,22034,23898,22993,22712,21809,21539,21507,20954,19120,19670,18952,18950,19417,16773,15222,12672,7063,5267,5165,8420,13228,13081,13369,12509,10571,9392,7043,5537,4481,5385,4717,4869,4395,4171,3338,2797,2032,1673,1302,740,425,292,230,193,75,65,37,104
63,Самарская область,2015,3224517,89.9,516038,1877597,830882,40056,39302,38691,36537,33980,33382,33921,31944,30060,29880,30643,30317,28948,26067,26804,25506,26770,26184,28644,31453,33682,34924,39791,43325,48622,51380,54596,57354,58302,55995,55529,55612,51168,49849,51464,49252,48824,48356,49321,49672,47562,45985,46642,45581,46536,41381,40029,39338,40648,41919,42833,46026,47232,49860,52745,49072,48843,48589,46160,47121,48175,43965,44638,43194,41728,42876,36574,34010,30987,18184,13234,12806,17948,26965,27026,28438,27424,25386,20527,15460,9778,9354,10518,10287,10787,9556,8829,7078,5560,4257,2846,2042,965,952,560,362,381,166,117,103,265
64,Саратовская область,2015,2517927,89.4,402950,1456685,658292,28720,28467,28455,26857,25738,26450,26894,25819,23037,23588,23842,23602,23381,22208,23444,22448,22904,21933,24274,26033,26645,27252,31294,35454,40538,40849,41407,43120,41997,41571,40364,40922,38359,36860,39353,37072,35973,35559,36774,36888,35350,33750,34630,33927,35251,32773,33085,31654,32872,34864,35130,37875,38273,39800,41562,38832,38014,36944,36769,36882,37253,33171,32933,31812,31674,32378,28606,25498,24389,15151,10438,10963,15595,23391,23492,24715,23790,22069,17787,13853,8317,6499,7865,7781,8820,7638,6800,5749,4409,3266,2427,1775,907,656,445,341,261,100,93,89,149
65,Ульяновская область,2015,1257920,91.8,194929,726826,336165,14874,14596,14587,13651,12918,12840,12879,11779,10983,10839,11276,11316,11144,10247,10689,10311,10732,10062,11471,12274,13514,13576,15067,16408,19117,20069,21133,21715,21365,20206,20021,19928,17944,17831,17499,16696,17370,17146,17406,16876,16373,16200,16705,16720,16854,15910,15904,16179,17300,18552,19258,20886,21630,22568,23527,22028,21510,21612,20399,20088,20255,18058,17638,16850,16324,16699,14496,13181,11455,6191,4574,4993,7161,10900,10852,11180,10861,10206,8435,6385,4546,4186,5026,4456,4509,4034,3640,2813,2224,1662,1193,867,425,351,223,156,176,55,29,37,60
66,Уральский федеральный округ,2015,12270733,91.4,2344079,7204918,2721736,183097,181709,182445,171509,160603,157121,155606,146234,134211,133186,134053,130542,126286,117331,118356,111790,115708,108857,114872,120796,127167,126850,145254,160755,185080,195386,211734,225208,226650,222347,217911,222812,209071,198592,204557,192630,192261,188064,189024,188823,181265,172394,172572,164903,165368,152329,148914,143521,148056,155388,159904,174780,180976,190671,201395,190043,188200,180275,174218,175879,173579,154580,156841,149718,140072,139960,107014,104520,90850,53276,35763,34657,48414,75529,80911,88175,84189,76906,62070,52027,37860,31682,36414,32996,33158,28773,27025,20565,17617,12421,9574,6312,3756,2697,1598,1103,996,508,316,223,549
67,Курганская область,2015,857688,89.1,157262,465253,235173,11741,12205,12067,11283,10479,10430,10949,10086,8963,8958,9026,8687,8637,7802,8220,7729,7453,6754,6905,7252,7982,7990,9165,10045,11041,11528,12416,13112,12954,12306,12475,12756,12059,11649,12036,11501,12085,11711,11593,11713,11664,11022,11422,10971,10912,10403,10215,9775,10512,11126,11591,13203,13858,14563,15025,14390,14683,14667,14469,14916,14001,11997,13671,12949,11382,11700,9011,8640,7995,4218,2778,2857,4101,6846,7929,8646,8313,6700,5923,4703,3336,3119,3577,3134,3358,3087,2664,2005,1864,1249,1010,601,392,293,139,114,82,45,37,23,69
68,Свердловская область,2015,4327198,89.9,781390,2481242,1064566,62249,61699,61107,57662,52554,51027,51065,47987,43976,44017,44751,44169,42564,39561,39794,37208,38389,36509,40345,42118,44259,44344,49403,55080,64450,67704,72734,77332,77936,76335,74301,76734,71222,68482,70881,67040,67167,65924,66866,66980,63814,60337,60132,57357,57437,52070,50796,48342,50263,52699,53879,58773,60623,64472,68567,65640,65977,62818,63157,64126,65108,59234,59165,57197,55155,55643,41791,42150,36534,21490,13723,13729,19734,31387,32297,35829,34439,32238,25064,21521,16133,13546,15345,14014,13712,11803,11328,8481,7505,5103,3977,2658,1575,1181,656,487,418,250,102,78,214
69,Тюменская область,2015,3587582,91.4,767096,2253636,566850,59759,59056,59623,55444,53507,52317,50861,48346,44961,44461,43866,42254,40790,37722,37861,36268,37205,34918,34988,36450,37653,37544,42185,47339,55633,59477,65618,71866,73854,72802,71355,72570,69639,64377,65909,61851,60722,58751,59063,58593,56276,52904,53384,50921,50855,47209,46613,45392,46801,49476,50873,55095,57024,59358,62023,57385,55175,51384,47044,45618,43928,37826,36405,33736,30580,29242,21760,20225,16959,9604,7004,6449,8334,12547,13250,14111,12928,11872,9411,7790,5820,5098,5506,4894,4884,4263,3806,2858,2398,1684,1417,897,626,397,242,160,160,67,62,34,80
70,Ханты-Мансийский авт. округ – Югра,2015,1616212,90.5,360809,1042329,213074,27856,28210,28387,26115,24820,23796,23138,22153,20926,20812,20800,20356,19524,18168,18430,17318,17472,16130,15790,16348,17126,16504,17511,19954,24188,26321,29467,32765,33651,33466,32804,33674,32492,30227,31634,29439,28795,27634,27964,27930,26431,24680,25130,24201,24237,22252,21785,21217,21952,23313,23860,25838,26519,27756,29512,26440,25374,23151,20932,19351,18493,15585,14663,13231,12263,11068,8501,7158,5990,3470,2567,2322,2901,4006,4103,4095,3723,3320,2520,2129,1464,1199,1244,1110,1118,917,783,611,477,346,270,170,128,88,56,32,31,10,8,6,10
71,Ямало-Ненецкий автономный округ,2015,524181,94.1,116826,356641,50714,7887,7847,8219,7600,7992,7997,7889,7600,7061,7341,7081,6741,6476,6199,6522,6374,6613,5974,5554,5757,5589,5295,5477,5889,7144,7737,9152,10520,11038,11098,10884,11169,10798,10481,10928,10201,10184,9650,10017,10015,9693,9294,9471,9019,8881,8243,8033,7646,7850,8425,8345,8918,9376,9568,9489,8710,7954,6971,5923,5497,4845,3991,3639,3126,2843,2435,1769,1527,1204,752,548,422,518,670,685,650,558,530,347,294,225,190,213,146,158,132,117,87,84,52,46,28,14,13,12,2,7,0,4,1,1
72,Тюменская область без автономий,2015,1447189,91.5,289461,854666,303062,24016,22999,23017,21729,20695,20524,19834,18593,16974,16308,15985,15157,14790,13355,12909,12576,13120,12814,13644,14345,14938,15745,19197,21496,24301,25419,26999,28581,29165,28238,27667,27727,26349,23669,23347,22211,21743,21467,21082,20648,20152,18930,18783,17701,17737,16714,16795,16529,16999,17738,18668,20339,21129,22034,23022,22235,21847,21262,20189,20770,20590,18250,18103,17379,15474,15739,11490,11540,9765,5382,3889,3705,4915,7871,8462,9366,8647,8022,6544,5367,4131,3709,4049,3638,3608,3214,2906,2160,1837,1286,1101,699,484,296,174,126,122,57,50,27,69
73,Челябинская область,2015,3498265,93.8,638331,2004787,855147,49348,48749,49648,47120,44063,43347,42731,39815,36311,35750,36410,35432,34295,32246,32481,30585,32661,30676,32634,34976,37273,36972,44501,48291,53956,56677,60966,62898,61906,60904,59780,60752,56151,54084,55731,52238,52287,51678,51502,51537,49511,48131,47634,45654,46164,42647,41290,40012,40480,42087,43561,47709,49471,52278,55780,52628,52365,51406,49548,51219,50542,45523,47600,45836,42955,43375,34452,33505,29362,17964,12258,11622,16245,24749,27435,29589,28509,26096,21672,18013,12571,9919,11986,10954,11204,9620,9227,7221,5850,4385,3170,2156,1163,826,561,342,336,146,115,88,186
